year,publisher,paper_key,pos,name,global_key_x,conf_key,link_x,title_x,pages,citations,l0,l1,l2,gender,global_key_y,title_y,link_y,cs,de,se,th,type
2014,\N,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
2015,AAAI Press,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802,4802
2015,ACM,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785,12785
2015,CEUR-WS.org,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,544,507
2015,EasyChair,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
2015,IEEE,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152,2152
2015,IEEE Computer Society,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755,9755
2015,IEEE Copmuter Society,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2015,JMLR.org,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142,1142
2015,OpenProceedings.org,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261,261
2015,SIAM,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
2015,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670,670
2015,Springer,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552,3552
2015,The Association for Computer Linguistics,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228,1228
